symbol,name,ipo_date,open_price,First Six Perf,Last Six Perf,Last 30 Perf,Last 14 Perf
GOED,1847 Goedeker,2020-07-31 00:00:00,9.4,-0.05319148936170213,-0.05319148936170213,-0.05319148936170213,-0.05319148936170213
FTHM,Fathom Holdings,2020-07-31 00:00:00,11.5,-0.12782608695652178,-0.12782608695652178,-0.12782608695652178,-0.12782608695652178
VSTA,Vasta Platform Limited,2020-07-31 00:00:00,22.1,-0.14705882352941174,-0.14705882352941174,-0.14705882352941174,-0.14705882352941174
VITL,"Vital Farms, Inc.",2020-07-31 00:00:00,35.0,0.007428571428571372,0.007428571428571372,0.007428571428571372,0.007428571428571372
ALVR,AlloVir,2020-07-31 00:00:00,22.82,0.09114811568799291,0.09114811568799291,0.09114811568799291,0.09114811568799291
LI,Li Auto,2020-07-31 00:00:00,16.67,-0.040191961607678565,-0.040191961607678565,-0.040191961607678565,-0.040191961607678565
VERX,Vertex,2020-07-29 00:00:00,25.56,-0.0782472613458529,-0.0782472613458529,-0.0782472613458529,-0.0782472613458529
ANNX,Annexon,2020-07-24 00:00:00,17.4,0.04770114942528746,0.04770114942528746,0.04770114942528746,0.04770114942528746
INZY,Inozyme Pharma,2020-07-24 00:00:00,20.8,-0.06009615384615384,-0.06009615384615384,-0.06009615384615384,-0.06009615384615384
ITOS,iTeos Therapeutics,2020-07-24 00:00:00,25.55,-0.22974559686888457,-0.22974559686888457,-0.22974559686888457,-0.22974559686888457
NRIX,Nurix Therapeutics,2020-07-24 00:00:00,18.06,0.07364341085271328,0.07364341085271328,0.07364341085271328,0.07364341085271328
MEG,Montrose Environmental Group,2020-07-23 00:00:00,16.5,0.3181818181818182,0.3181818181818182,0.3181818181818182,0.3181818181818182
EDTK,Skillful Craftsman Education Technology Ltd.,2020-07-23 00:00:00,5.4,-0.2574074074074075,-0.2574074074074075,-0.2574074074074075,-0.2574074074074075
JAMF,Jamf Holding,2020-07-22 00:00:00,46.0,-0.11739130434782606,-0.11739130434782606,-0.11739130434782606,-0.11739130434782606
ALXO,ALX Oncology Holdings,2020-07-17 00:00:00,37.5,-0.12799999999999992,-0.12799999999999992,-0.12799999999999992,-0.12799999999999992
BLI,Berkeley Lights,2020-07-17 00:00:00,51.01,0.1756518329739267,0.1756518329739267,0.1756518329739267,0.1756518329739267
PAND,Pandion Therapeutics Holdco,2020-07-17 00:00:00,27.0,-0.36962962962962964,-0.36962962962962964,-0.36962962962962964,-0.36962962962962964
RLAY,Relay Therapeutics,2020-07-16 00:00:00,34.85,0.017503586800573873,0.017503586800573873,0.017503586800573873,0.017503586800573873
TIG,Trean Insurance Group,2020-07-16 00:00:00,17.03,-0.08396946564885505,-0.08396946564885505,-0.08396946564885505,-0.08396946564885505
GOCO,GoHealth,2020-07-15 00:00:00,25.0,-0.29,-0.29,-0.29,-0.29
NCNO,nCino,2020-07-14 00:00:00,71.0,0.11408450704225344,0.11408450704225344,0.11408450704225344,0.11408450704225344
NKTX,Nkarta,2020-07-10 00:00:00,54.45,-0.527089072543618,-0.527089072543618,-0.527089072543618,-0.527089072543618
PSTX,Poseida Therapeutics,2020-07-10 00:00:00,16.9,-0.2319526627218934,-0.2319526627218934,-0.2319526627218934,-0.2319526627218934
QH,Quhuo Limited,2020-07-10 00:00:00,15.31,-0.42913128674069234,-0.42913128674069234,-0.42913128674069234,-0.42913128674069234
BLCT,BlueCity Holdings,2020-07-08 00:00:00,20.45,-0.22347188264058673,-0.22347188264058673,-0.22347188264058673,-0.22347188264058673
TXAC,Therapeutics Acquisition,2020-07-08 00:00:00,12.37,0.1495553759094585,0.1495553759094585,0.1495553759094585,0.1495553759094585
ACCD,Accolade,2020-07-01 00:00:00,0.55,57.98181818181817,57.98181818181817,57.98181818181817,57.98181818181817
LMND,Lemonade,2020-07-02 00:00:00,50.06,0.1622053535757091,0.1622053535757091,0.1622053535757091,0.1622053535757091
DNB,Dun & Bradstreet Holdings,2020-07-01 00:00:00,25.0,0.02,0.02,0.02,0.02
API,Agora,2020-06-26 00:00:00,45.0,-0.03244444444444446,-0.03244444444444446,-0.03244444444444446,-0.03244444444444446
AKUS,Akouos,2020-06-26 00:00:00,22.26,-0.12174303683737649,-0.12174303683737649,-0.12174303683737649,-0.12174303683737649
ACI,Albertsons Companies,2020-06-26 00:00:00,15.5,-0.041290322580645196,-0.041290322580645196,-0.041290322580645196,-0.041290322580645196
EBON,Ebang International Holdings,2020-06-26 00:00:00,4.6,-0.006521739130434644,-0.006521739130434644,-0.006521739130434644,-0.006521739130434644
FUSN,Fusion Pharmaceuticals,2020-06-26 00:00:00,18.5,-0.2562162162162162,-0.2562162162162162,-0.2562162162162162,-0.2562162162162162
PYPD,PolyPid,2020-06-26 00:00:00,16.0,-0.12624999999999997,-0.12624999999999997,-0.12624999999999997,-0.12624999999999997
FMTX,Forma Therapeutics Holdings,2020-06-19 00:00:00,40.0,-0.12599999999999997,-0.12599999999999997,-0.10358974358974357,-0.10358974358974357
GTH,Genetron Holdings,2020-06-15 00:00:00,16.15,-0.11455108359133115,-0.11455108359133115,-0.10624999999999996,-0.10624999999999996
PROG,Progenity,2020-06-19 00:00:00,15.11,-0.39708802117802783,-0.39708802117802783,-0.30564024390243905,-0.30564024390243905
RPTX,Repare Therapeutics,2020-06-19 00:00:00,32.49,-0.26562019082794713,-0.26562019082794713,-0.22532467532467537,-0.22532467532467537
RPRX,Royalty Pharma plc,2020-06-16 00:00:00,44.0,-0.021590909090909157,-0.021590909090909157,-0.12142857142857148,-0.12142857142857148
RNA,Avidity Biosciences,2020-06-12 00:00:00,26.5,0.06377358490566043,0.06377358490566043,-0.06252078483538406,-0.06252078483538406
AZEK,AZEK Company (The),2020-06-12 00:00:00,27.5,0.2545454545454545,0.2545454545454545,0.13486842105263164,0.13486842105263164
BNR,Burning Rock Biotech Ltd.,2020-06-12 00:00:00,22.8,0.0964912280701754,0.0964912280701754,-0.131642931573463,-0.131642931573463
GBIO,Generation Bio,2020-06-12 00:00:00,22.15,-0.11331828442437915,-0.11331828442437915,-0.10360565951620263,-0.10360565951620263
PCVX,Vaxcyte,2020-06-12 00:00:00,20.8,0.5100961538461538,0.5100961538461538,-0.11396332863187594,-0.11396332863187594
LTRN,Lantern Pharma,2020-06-11 00:00:00,14.8,-0.16756756756756758,-0.16756756756756758,-0.059541984732824384,-0.059541984732824384
UCL,uCloudlink Group,2020-06-10 00:00:00,22.5,-0.39644444444444443,-0.39644444444444443,-0.17195121951219505,-0.17195121951219505
HECCU,Hudson Executive Investment,2020-06-09 00:00:00,10.19,-0.0029440628066731466,-0.0029440628066731466,0.0,0.0
VRM,Vroom,2020-06-09 00:00:00,40.25,0.4705590062111801,0.4705590062111801,0.24584298042517366,0.24584298042517366
AMTI,Applied Molecular Transport,2020-06-05 00:00:00,25.51,-0.12857702861622897,-0.12857702861622897,-0.1763616154131159,-0.1763616154131159
DADA,Dada Nexus Limited,2020-06-05 00:00:00,18.3,0.26502732240437143,0.26502732240437143,0.0465641952983724,0.0465641952983724
LEGN,Legend Biotech,2020-06-05 00:00:00,37.01,-0.0478249121858956,-0.0478249121858956,-0.1105502271580009,-0.1105502271580009
